"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "HTML", "SCSS", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\mail\Desktop\mathe-app\mathapp\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 14, 28
"c:\Users\mail\Desktop\mathe-app\mathapp\angular.json", "JSON", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\AppComponent.html", "HTML", 0, 0, 0, 0, 528, 0, 0, 0, 0, 2, 136, 666
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\ClassselectionComponent.html", "HTML", 0, 0, 0, 0, 494, 0, 0, 0, 0, 2, 139, 635
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\CodepageComponent.html", "HTML", 0, 0, 0, 0, 556, 0, 0, 0, 0, 2, 137, 695
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\ExerciseComponent.html", "HTML", 0, 0, 0, 0, 1315, 0, 0, 0, 0, 2, 275, 1592
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\LoadingpageComponent.html", "HTML", 0, 0, 0, 0, 316, 0, 0, 0, 0, 2, 104, 422
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\PuzzleComponent.html", "HTML", 0, 0, 0, 0, 810, 0, 0, 0, 0, 2, 173, 985
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\PuzzleresultpageComponent.html", "HTML", 0, 0, 0, 0, 334, 0, 0, 0, 0, 2, 115, 451
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\ResultpageComponent.html", "HTML", 0, 0, 0, 0, 567, 0, 0, 0, 0, 2, 149, 718
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\StartpageComponent.html", "HTML", 0, 0, 0, 0, 451, 0, 0, 0, 0, 2, 128, 581
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\coverage.html", "HTML", 0, 0, 0, 0, 340, 0, 0, 0, 0, 24, 38, 402
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\dependencies.html", "HTML", 0, 0, 0, 0, 112, 0, 0, 0, 0, 2, 37, 151
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\directives\ChangeBgDirective.html", "HTML", 0, 0, 0, 0, 328, 0, 0, 0, 0, 2, 84, 414
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\fonts\ionicons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2087, 3, 1, 2091
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\fonts\roboto-v15-latin-300.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 1, 315
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\fonts\roboto-v15-latin-700.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 310, 0, 1, 311
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\fonts\roboto-v15-latin-italic.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 323, 0, 1, 324
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\fonts\roboto-v15-latin-regular.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 308, 0, 1, 309
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\graph\dependencies.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 182, 34, 1, 217
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\images\compodoc-vectorise-inverted.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 199, 1, 2, 202
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\images\compodoc-vectorise.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 199, 1, 2, 202
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\images\coverage-badge-documentation.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\index.html", "HTML", 0, 0, 0, 0, 89, 0, 0, 0, 0, 2, 37, 128
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\injectables\DataService.html", "HTML", 0, 0, 0, 0, 817, 0, 0, 0, 0, 2, 174, 993
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\injectables\SharedService.html", "HTML", 0, 0, 0, 0, 1229, 0, 0, 0, 0, 2, 232, 1463
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\interfaces\Exercise.html", "HTML", 0, 0, 0, 0, 285, 0, 0, 0, 0, 2, 87, 374
